"title","char","freq","year","tf","idf","tf_idf"
"有机酸对多酚氧化酶的抑制作用:从模型体系到食品体系","有机酸",8,2019,0.0707964601769911,7.81480342948936,0.553260419786857
"有机酸对多酚氧化酶的抑制作用:从模型体系到食品体系","PPO",7,2019,0.0619469026548673,7.81480342948936,0.4841028673135
"有机酸对多酚氧化酶的抑制作用:从模型体系到食品体系","抑制",7,2019,0.0619469026548673,4.81907115593537,0.298526531783607
"有机酸对多酚氧化酶的抑制作用:从模型体系到食品体系","促褐变",4,2019,0.0353982300884956,7.81480342948936,0.276630209893429
"有机酸对多酚氧化酶的抑制作用:从模型体系到食品体系","酶",4,2019,0.0353982300884956,7.12165624892941,0.252094026510776
"基于直接数字频率合成的长距离后向散射通信方法","罗拉",7,2019,0.0921052631578947,7.81480342948936,0.719784526400336
"基于直接数字频率合成的长距离后向散射通信方法","BC",4,2019,0.0526315789473684,7.81480342948936,0.411305443657335
"基于直接数字频率合成的长距离后向散射通信方法","散射",4,2019,0.0526315789473684,6.20536551705526,0.326598185108172
"基于直接数字频率合成的长距离后向散射通信方法","集成电路",2,2019,0.0263157894736842,7.12165624892941,0.187412006550774
"基于直接数字频率合成的长距离后向散射通信方法","反向",2,2019,0.0263157894736842,6.0230439602613,0.158501156848982
"用MoS2/SiO2 van der Waals异质结转移印刷VO2薄膜","电影",6,2019,0.0465116279069767,7.81480342948936,0.363479229278575
"用MoS2/SiO2 van der Waals异质结转移印刷VO2薄膜","二硫化钼",4,2019,0.0310077519379845,7.81480342948936,0.242319486185717
"用MoS2/SiO2 van der Waals异质结转移印刷VO2薄膜","二氧化硅",4,2019,0.0310077519379845,7.81480342948936,0.242319486185717
"用MoS2/SiO2 van der Waals异质结转移印刷VO2薄膜","转移",5,2019,0.0387596899224806,4.92443167159319,0.190869444635395
"用MoS2/SiO2 van der Waals异质结转移印刷VO2薄膜","基质",3,2019,0.0232558139534884,7.81480342948936,0.181739614639287
"最大距离可分矩阵的构造与最小异或计数","矩阵",11,2019,0.106796116504854,4.2884429048732,0.457989048093254
"最大距离可分矩阵的构造与最小异或计数","MDS",6,2019,0.058252427184466,6.71619114082125,0.391234435387646
"最大距离可分矩阵的构造与最小异或计数","xor",5,2019,0.0485436893203883,7.81480342948936,0.379359389781037
"最大距离可分矩阵的构造与最小异或计数","利兹",2,2019,0.0194174757281553,7.81480342948936,0.151743755912415
"最大距离可分矩阵的构造与最小异或计数","托普",2,2019,0.0194174757281553,7.81480342948936,0.151743755912415
"物联网中基于Multi-Agent的物间动态关系发现","关系",7,2019,0.0933333333333333,2.82437084271062,0.263607945319658
"物联网中基于Multi-Agent的物间动态关系发现","实体",4,2019,0.0533333333333333,3.77175216165481,0.201160115288257
"物联网中基于Multi-Agent的物间动态关系发现","物间",2,2019,0.0266666666666667,7.12165624892941,0.189910833304784
"物联网中基于Multi-Agent的物间动态关系发现","矛盾",2,2019,0.0266666666666667,5.10675322838715,0.136180086090324
"物联网中基于Multi-Agent的物间动态关系发现","Agent",2,2019,0.0266666666666667,5.04221470724958,0.134459058859989
"物联网技术下重复质押风险的防范","质押",5,2019,0.0568181818181818,7.81480342948936,0.444022922130077
"物联网技术下重复质押风险的防范","银行",5,2019,0.0568181818181818,6.71619114082125,0.381601769364844
"物联网技术下重复质押风险的防范","监管",5,2019,0.0568181818181818,3.82581938292509,0.217376101302562
"物联网技术下重复质押风险的防范","收益",3,2019,0.0340909090909091,5.41690815669099,0.184667323523556
"物联网技术下重复质押风险的防范","动产",2,2019,0.0227272727272727,7.81480342948936,0.177609168852031
"轻量级分组密码ESF的相关密钥不可能差分密码分析","round",5,2019,0.0588235294117647,7.81480342948936,0.459694319381727
"轻量级分组密码ESF的相关密钥不可能差分密码分析","养",4,2019,0.0470588235294118,7.12165624892941,0.335136764655502
"轻量级分组密码ESF的相关密钥不可能差分密码分析","15-",2,2019,0.0235294117647059,7.81480342948936,0.183877727752691
"轻量级分组密码ESF的相关密钥不可能差分密码分析","2-",2,2019,0.0235294117647059,7.81480342948936,0.183877727752691
"轻量级分组密码ESF的相关密钥不可能差分密码分析","密码",3,2019,0.0352941176470588,3.84451151593724,0.135688641738961
"[用于心电图信号心律失常识别的深度残差卷积神经网络]","CNN",13,2019,0.0318627450980392,7.12165624892941,0.226915517735496
"[用于心电图信号心律失常识别的深度残差卷积神经网络]","心电图",9,2019,0.0220588235294118,6.71619114082125,0.148151275165175
"[用于心电图信号心律失常识别的深度残差卷积神经网络]","DR",7,2019,0.017156862745098,7.81480342948936,0.13407750981967
"[用于心电图信号心律失常识别的深度残差卷积神经网络]","心律不齐",5,2019,0.0122549019607843,7.81480342948936,0.0957696498711931
"[用于心电图信号心律失常识别的深度残差卷积神经网络]","卷积",6,2019,0.0147058823529412,6.0230439602613,0.0885741758861956
"【完善病理器材售后服务的“互联网+”解决方案】","病理",3,2019,0.107142857142857,6.42850906836947,0.688768828753872
"【完善病理器材售后服务的“互联网+”解决方案】","装备",2,2019,0.0714285714285714,4.0306137955711,0.287900985397936
"【完善病理器材售后服务的“互联网+”解决方案】","售后服务",1,2019,0.0357142857142857,7.81480342948936,0.279100122481763
"【完善病理器材售后服务的“互联网+”解决方案】","在线",2,2019,0.0714285714285714,3.25045523802152,0.232175374144395
"【完善病理器材售后服务的“互联网+”解决方案】","培训",1,2019,0.0357142857142857,6.0230439602613,0.215108712866475
